m/z,A_APCKRAS_intensities,B_APC_intensities,G_APC_intensities,C_APC_intensities,D_APCKRAS_intensities,E_APCKRAS_intensities
89.024,1114473.077,1422113.43,763661.4982,1274805.297,1799880.756,777091.4505
94.98,359096.1536,310526.8168,264347.551,635306.6766,472807.8928,423950.2975
115.076,196549.2154,176689.0172,146068.732,281260.0305,269188.7918,1260527.03
121.028,160087.7965,177664.2277,100117.4416,203496.033,226807.474,869502.0091
124.006,2727244.03,2213522.161,1213152.471,1797737.886,3126978.053,1353126.77
129.092,146324.2477,148309.4357,113323.3619,216256.1601,216328.5484,1101560.388
135.044,136589.2511,80755.92065,90810.02337,115597.2249,102623.043,274772.4231
137.024,228134.295,114327.1159,113163.4684,220507.7803,140506.4418,312458.9145
145.06,459380.0998,790137.4311,746841.9546,1271339.636,591835.9413,326136.6031
153.018,43347.15152,34479.91698,28523.38971,51046.69663,48634.03967,51550.23615
157.086,115579.3458,138008.9586,82455.27931,193439.4484,167014.9419,343060.066
157.122,447726.1898,469170.3911,346167.7,631065.4413,654764.93,1908386.903
161.062,290612.2903,436765.2932,153286.2113,436765.2932,796997.5853,20
165.04,235782.0383,224881.5022,177939.0808,381901.1102,320682.6421,1615517.737
168.988,76027.54304,87006.10651,52011.59873,95705.6288,90261.04693,346440.6304
171.102,270848.5415,466020.0999,183624.9341,445967.2262,457162.9456,852185.0351
171.138,423622.117,390116.9853,307687.9109,538515.3245,543187.0948,2100283.534
175.024,2706475.601,2786082.1,2447718.832,4763542.9,3641411.227,701100.8315
187.042,383980.7186,1160454.317,152674.4276,1160454.317,684285.4017,3895149.596
187.096,152702.0637,263268.0533,96438.88904,227499.4322,260950.0942,523844.2811
197.118,98831.94924,147015.0128,68111.18248,147363.3356,154398.2166,310103.5858
201.112,213790.8534,292699.7833,136792.0334,346293.4982,441916.1993,1322068.608
233.154,491526.2714,453813.4588,330368.3539,560320.5642,584403.4134,3557793.545
239.058,155382.2248,166628.4672,117455.4845,245568.168,218127.0384,1452844.779
241.216,307996.4008,516706.2944,263600.8476,534655.523,476342.1604,788235.2402
250.144,118185.6764,133529.703,75697.12145,112149.1061,160605.4222,929108.8207
253.216,1829029.806,5053645.323,1133296.744,2293629.551,2206200.607,6630155.416
255.232,4861878.51,11378184.6,3358256.953,20,20,24752933.48
257.238,91007.85756,213020.9517,64349.84192,141608.7446,134134.9189,469248.768
265.146,142175.8869,132485.7416,96280.40227,191202.5172,176313.4947,344097.378
279.232,3568327.171,8437845.353,1669024.741,3399259.2,4164287.88,20599909.74
280.234,679483.1837,1645963.805,319792.2092,662657.682,816869.4079,4080157.973
282.25,1266846.934,3177661.768,907058.1857,2100527.852,1995783.845,6673013.8
295.226,148515.6083,633599.248,89711.85158,145711.5957,300671.7307,1069872.832
297.152,221541.1191,237793.1339,351842.708,296877.529,282257.0921,367254.0444
297.242,180045.7824,955036.2146,153401.205,955036.2146,665080.2996,835579.3732
298.244,20,199176.2489,138716.1155,20,20,20
303.232,5936693.951,12361299.61,4359601.551,8511569.39,12601684.18,68814027.51
